Circuito_A,F/N/T,Circuito_B,F/N/T ,Resistencia,SI,NO,Observación
1,F,1,F,0.35 ohm,,X,
1,F,1,N,0.33 ohm,,X,
1,N,1,F,0.46 ohm,,X,
1,N,1,N,-,,,Mismo Dif.
1,F,2,F,0.00 ohm,,X,
1,F,2,N,0.00 ohm,,X,
1,N,2,F,0.00 ohm,,X,
1,N,2,N,0.00 ohm,,X,
1,F,3,F,> 500.0 Mohm,X,,
1,F,3,N,> 500.0 Mohm,X,,
1,N,3,F,0.04 ohm,,X,
1,N,3,N,0.03 ohm,,X,
1,F,4,F,0.41 ohm,,X,
1,F,4,N,0.43 ohm,,X,
1,N,4,F,0.48 ohm,,X,
1,N,4,N,0.49 ohm,,X,
1,F,5,F,0.00 ohm,,X,
1,F,5,N,0.00 ohm,,X,
1,N,5,F,0.00 ohm,,X,
1,N,5,N,0.00 ohm,,X,
2,F,1,F,> 500.0 Mohm,X,,
2,F,1,N,> 500.0 Mohm,X,,
2,N,1,F,> 500.0 Mohm,X,,
2,N,1,N,> 500.0 Mohm,X,,
2,F,2,F,0.00 ohm,,X,
2,F,2,N,0.00 ohm,,X,
2,F,3,F,0.00 ohm,,X,
2,F,3,N,0.00 ohm,,X,
2,F,4,F,0.00 ohm,,X,
2,F,4,N,0.00 ohm,,X,
2,F,5,F,0.35 ohm,,X,
2,F,5,N,0.35 ohm,,X,
2,N,5,F,0.00 ohm,,X,
2,N,5,N,0.00 ohm,,X,
2,F,6,F,0.15 ohm,,X,
2,F,6,N,0.17 ohm,,X,
2,N,6,F,0.26 ohm,,X,
2,N,6,N,0.26 ohm,,X,
1.0,N,Barra,T,0.24 ohm,,X,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.27 ohm,,X,
1.0,F,Barra,T,0.27 ohm,,X,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.50 ohm,X,,
1.0,F,Barra,T,0.53 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,F,Barra,T,0.66 ohm,X,,
1.0,F,Barra,T,0.65 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.61 ohm,X,,
1.0,F,Barra,T,0.60 ohm,X,,
1.0,F,Barra,T,0.21 ohm,,X,
1.0,F,Barra,T,0.19 ohm,,X,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,F,Barra,T,0.58 ohm,X,,
1.0,F,Barra,T,0.59 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.75 ohm,X,,
1.0,F,Barra,T,0.75 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.67 ohm,X,,
1.0,F,Barra,T,0.67 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,1.05 ohm,X,,
1.0,F,Barra,T,1.05 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.37 ohm,,X,
1.0,F,Barra,T,0.37 ohm,,X,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.53 ohm,X,,
1.0,F,Barra,T,0.52 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.48 ohm,,X,
1.0,F,Barra,T,0.48 ohm,,X,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.65 ohm,X,,
1.0,F,Barra,T,0.65 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,F,Barra,T,0.71 ohm,X,,
1.0,F,Barra,T,0.71 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.70 ohm,X,,
1.0,F,Barra,T,0.71 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.61 ohm,X,,
1.0,F,Barra,T,0.62 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.98 ohm,X,,
1.0,F,Barra,T,1.00 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.56 ohm,X,,
1.0,F,Barra,T,0.56 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.60 ohm,X,,
1.0,F,Barra,T,0.61 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.69 ohm,X,,
1.0,F,Barra,T,0.70 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.67 ohm,X,,
1.0,F,Barra,T,0.67 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.81 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.68 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.74 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,F,Barra,T,0.81 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.83 ohm,X,,
1.0,F,Barra,T,0.74 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.83 ohm,X,,
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.68 ohm,X,,
1.0,F,Barra,T,0.44 ohm,,X,
1.0,F,Barra,T,0.45 ohm,,X,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.61 ohm,X,,
1.0,F,Barra,T,0.62 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.91 ohm,X,,
1.0,F,Barra,T,0.92 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.96 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,> 500.0 Mohm,X,,
1.0,F,Barra,T,0.42 ohm,,X,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,1.16 ohm,X,,
1.0,F,Barra,T,1.18 ohm,X,,
1.0,F,Barra,T,0.42 ohm,,X,
1.0,F,Barra,T,0.95 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.48 ohm,,X,
1.0,F,Barra,T,0.48 ohm,,X,
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,N,Barra,T,-,,,Mismo Dif.
1.0,F,Barra,T,0.68 ohm,X,,
1.0,F,Barra,T,0.67 ohm,X,,
1.0,N,Barra,T,-,,,Mismo Dif.
2.0,F,Barra,T,0.12 ohm,,X,
2.0,F,Barra,T,0.00 ohm,,X,
2.0,N,Barra,T,0.11 ohm,,X,
2.0,N,Barra,T,-,,,Mismo Dif.
2.0,F,Barra,T,0.09 ohm,,X,
2.0,N,Barra,T,-,,,Mismo Dif.
2.0,N,Barra,T,-,,,Mismo Dif.
2.0,F,Barra,T,0.09 ohm,,X,
2.0,F,Barra,T,0.06 ohm,,X,
2.0,N,Barra,T,-,,,Mismo Dif.
2.0,N,Barra,T,-,,,Mismo Dif.
2.0,F,Barra,T,0.06 ohm,,X,
2.0,N,Barra,T,-,,,Mismo Dif.
2.0,F,Barra,T,0.12 ohm,,X,
2.0,N,Barra,T,-,,,Mismo Dif.
2.0,N,Barra,T,-,,,Mismo Dif.
2.0,F,Barra,T,0.00 ohm,,X,
2.0,F,Barra,T,0.00 ohm,,X,
2.0,F,Barra,T,0.00 ohm,,X,
2.0,N,Barra,T,-,,,Mismo Dif.
