Circuito_A,F/N/T,Circuito_B,F/N/T ,Resistencia,SI,NO,Observación
1,F,1,F, > 500.0 Mohm,X,,
1,F,1,N, > 500.0 Mohm,X,,
1,N,1,F, > 500.0 Mohm,X,,
1,N,1,N,-,,,Mismo Dif.
1,F,2,F, > 500.0 Mohm,X,,
1,F,2,N, > 500.0 Mohm,X,,
1,N,2,F, > 500.0 Mohm,X,,
1,N,2,N,-,,,Mismo Dif.
1,F,3,F, > 500.0 Mohm,X,,
1,F,3,N, > 500.0 Mohm,X,,
1,N,3,F, > 500.0 Mohm,X,,
1,N,3,N, > 500.0 Mohm,X,,
1,F,4,F, > 500.0 Mohm,X,,
1,F,4,N, > 500.0 Mohm,X,,
1,N,4,F, > 500.0 Mohm,X,,
1,N,4,N, > 500.0 Mohm,X,,
1,F,5,F, > 500.0 Mohm,X,,
1,F,5,N, > 500.0 Mohm,X,,
1,N,5,F, > 500.0 Mohm,X,,
1,N,5,N, > 500.0 Mohm,X,,
1,F,6,F, > 500.0 Mohm,X,,
1,F,6,N, > 500.0 Mohm,X,,
1,N,6,F, > 500.0 Mohm,X,,
1,N,6,N, > 500.0 Mohm,X,,
1,N,Barra,T, > 500.0 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, 0.90 Mohm,X,,
1,F,Barra,T, > 500.0 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, > 500.0 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, 0.82 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, 0.86 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, > 500.0 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, 0.76 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, > 500.0 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, 0.79 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, > 500.0 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, 0.88 Mohm,X,,
1,N,Barra,T,-,,,Mismo Dif.
1,F,Barra,T, > 500.0 Mohm,X,,
2,N,Barra,T,-,,,Mismo Dif.
2,F,Barra,T, > 500.0 Mohm,X,,
2,F,Barra,T, > 500.0 Mohm,X,,
2,F,Barra,T, > 500.0 Mohm,X,,
2,N,Barra,T,-,,,Mismo Dif.
2,N,Barra,T,-,,,Mismo Dif.
2,F,Barra,T, > 500.0 Mohm,X,,
2,F,Barra,T, > 500.0 Mohm,X,,
2,F,Barra,T, > 500.0 Mohm,X,,
2,F,Barra,T, > 500.0 Mohm,X,,
2,N,Barra,T,-,,,Mismo Dif.
2,N,Barra,T,-,,,Mismo Dif.
2,F,Barra,T, > 500.0 Mohm,X,,
2,N,Barra,T,-,,,Mismo Dif.
2,F,Barra,T, > 500.0 Mohm,X,,
2,N,Barra,T,-,,,Mismo Dif.
2,F,Barra,T, > 500.0 Mohm,X,,
2,F,Barra,T, > 500.0 Mohm,X,,
2,N,Barra,T,-,,,Mismo Dif.
3,N,Barra,T, > 500.0 Mohm,X,,
3,N,Barra,T,-,,,Mismo Dif.
3,F,Barra,T, > 500.0 Mohm,X,,
3,N,Barra,T,-,,,Mismo Dif.
3,F,Barra,T, > 500.0 Mohm,X,,
3,N,Barra,T,-,,,Mismo Dif.
3,F,Barra,T, > 500.0 Mohm,X,,
3,N,Barra,T,-,,,Mismo Dif.
3,F,Barra,T, > 500.0 Mohm,X,,
3,N,Barra,T,-,,,Mismo Dif.
3,F,Barra,T, > 500.0 Mohm,X,,
3,N,Barra,T,-,,,Mismo Dif.
3,F,Barra,T, > 500.0 Mohm,X,,
3,N,Barra,T,-,,,Mismo Dif.
3,F,Barra,T, > 500.0 Mohm,X,,
3,F,Barra,T, > 500.0 Mohm,X,,
4,F,Barra,T, > 500.0 Mohm,X,,
4,F,Barra,T, > 500.0 Mohm,X,,
4,F,Barra,T, > 500.0 Mohm,X,,
4,F,Barra,T, > 500.0 Mohm,X,,
4,N,Barra,T,-,,,Mismo Dif.
4,N,Barra,T,-,,,Mismo Dif.
4,F,Barra,T, > 500.0 Mohm,X,,
4,N,Barra,T,-,,,Mismo Dif.
4,N,Barra,T,-,,,Mismo Dif.
4,F,Barra,T, > 500.0 Mohm,X,,
4,N,Barra,T,-,,,Mismo Dif.
4,F,Barra,T, > 500.0 Mohm,X,,
5,F,Barra,T, > 500.0 Mohm,X,,
5,N,Barra,T, > 500.0 Mohm,X,,
5,F,Barra,T, > 500.0 Mohm,X,,
5,N,Barra,T,-,,,Mismo Dif.
5,F,Barra,T, > 500.0 Mohm,X,,
5,N,Barra,T,-,,,Mismo Dif.
5,F,Barra,T, > 500.0 Mohm,X,,
5,N,Barra,T,-,,,Mismo Dif.
6,N,Barra,T,-,,,Mismo Dif.
6,F,Barra,T, > 500.0 Mohm,X,,
6,N,Barra,T,-,,,Mismo Dif.
6,F,Barra,T, > 500.0 Mohm,X,,
