N° Circuito,Carga,Configuración,Resistencia (-),Resistencia (+), SI , NO 
1,1,L-N,0.87 ohm,0.72 ohm,X , 
1,1,L-PE,0.84 ohm,0.85 ohm,X , 
1,1,N-PE,0.77 ohm,0.77 ohm,X , 
1,2,L-N,0.90 ohm,0.91 ohm,X , 
1,2,L-PE,0.87 ohm,0.88 ohm,X , 
1,2,N-PE,0.80 ohm,0.81 ohm,X , 
1,3,L-N,1.54 ohm,1.54 ohm,X , 
1,3,L-PE,1.46 ohm,1.47 ohm,X , 
1,3,N-PE,0.71 ohm,0.70 ohm,X , 
1,4,L-N,1.58 ohm,1.59 ohm,X , 
1,4,L-PE,1.54 ohm,1.55 ohm,X , 
1,4,N-PE,0.76 ohm,0.76 ohm,X , 
1,5,L-N,1.64 ohm,1.66 ohm,X , 
1,5,L-PE,1.61 ohm,1.61 ohm,X , 
1,5,N-PE,0.82 ohm,0.83 ohm,X , 
1,6,L-N,0.81 ohm,0.82 ohm,X , 
1,6,L-PE,0.76 ohm,0.77 ohm,X , 
1,6,N-PE,0.69 ohm,0.69 ohm,X , 
1,7,L-N,0.89 ohm,0.90 ohm,X , 
1,7,L-PE,0.84 ohm,0.84 ohm,X , 
1,7,N-PE,0.77 ohm,0.77 ohm,X , 
1,8,L-N,0.77 ohm,0.77 ohm,X , 
1,8,L-PE,0.75 ohm,0.75 ohm,X , 
1,8,N-PE,0.57 ohm,0.57 ohm,X , 
1,9,L-N,0.98 ohm,1.00 ohm,X , 
1,9,L-PE,0.96 ohm,0.96 ohm,X , 
1,9,N-PE,0.63 ohm,0.63 ohm,X , 
1,10,L-N,0.68 ohm,0.68 ohm,X , 
1,10,L-PE,0.69 ohm,0.70 ohm,X , 
1,10,N-PE,0.74 ohm,0.74 ohm,X , 
1,11,L-N,0.91 ohm,0.91 ohm,X , 
1,11,L-PE,0.87 ohm,0.90 ohm,X , 
1,11,N-PE,0.70 ohm,0.71 ohm,X , 
1,12,L-N,0.78 ohm,0.79 ohm,X , 
1,12,L-PE,0.75 ohm,0.75 ohm,X , 
1,12,N-PE,0.57 ohm,0.58 ohm,X , 
1,13,L-N,1.53 ohm,1.60 ohm,X , 
1,13,L-PE,1.47 ohm,1.51 ohm,X , 
1,13,N-PE,0.48 ohm,0.48 ohm,X , 
1,14,L-N,1.49 ohm,1.51 ohm,X , 
1,14,L-PE,1.46 ohm,1.48 ohm,X , 
1,14,N-PE,0.39 ohm,0.39 ohm,X , 
1,15,L-N,1.77 ohm,1.92 ohm,X , 
1,15,L-PE,1.67 ohm,1.69 ohm,X , 
1,15,N-PE,0.56 ohm,0.56 ohm,X , 
1,16,L-N,0.37 ohm,0.38 ohm,X , 
1,16,L-PE,0.35 ohm,0.35 ohm,X , 
1,16,N-PE,0.22 ohm,0.22 ohm,X , 
1,17,L-N,1.15 ohm,1.16 ohm,X , 
1,17,L-PE,1.13 ohm,1.14 ohm,X , 
1,17,N-PE,0.68 ohm,0.68 ohm,X , 
1,18,L-N,1.17 ohm,1.18 ohm,X , 
1,18,L-PE,1.18 ohm,1.18 ohm,X , 
1,18,N-PE,0.73 ohm,0.73 ohm,X , 
1,19,L-N,0.84 ohm,0.84 ohm,X , 
1,19,L-PE,0.83 ohm,0.83 ohm,X , 
1,19,N-PE,0.75 ohm,0.75 ohm,X , 
1,20,L-N,0.83 ohm,0.84 ohm,X , 
1,20,L-PE,0.82 ohm,0.82 ohm,X , 
1,20,N-PE,0.74 ohm,0.74 ohm,X , 
1,21,L-N,0.84 ohm,0.85 ohm,X , 
1,21,L-PE,0.84 ohm,0.84 ohm,X , 
1,21,N-PE,0.76 ohm,0.76 ohm,X , 
1,22,L-N,0.42 ohm,0.43 ohm,X , 
1,22,L-PE,0.41 ohm,0.42 ohm,X , 
1,22,N-PE,0.33 ohm,0.33 ohm,X , 
1,23,L-N,0.49 ohm,0.50 ohm,X , 
1,23,L-PE,0.47 ohm,0.48 ohm,X , 
1,23,N-PE,0.38 ohm,0.38 ohm,X , 
1,24,L-N,0.52 ohm,0.53 ohm,X , 
1,24,L-PE,0.51 ohm,0.52 ohm,X , 
1,24,N-PE,0.42 ohm,0.42 ohm,X , 
